datetime,x_hz,y_dbm
2024-08-22 11:28:16.555906,107296647.84,-82.659072876
2024-08-22 11:28:17.559967,107296647.84,-83.3280105591
2024-08-22 11:28:18.563964,107296647.84,-82.9890136719
2024-08-22 11:28:19.568016,107296647.84,-88.2708816528
2024-08-22 11:28:20.572069,107296647.84,-89.0205154419
2024-08-22 11:28:21.576067,107296647.84,-85.3843688965
2024-08-22 11:28:22.580092,107296647.84,-85.1603927612
2024-08-22 11:28:23.584092,107296647.84,-76.4995651245
2024-08-22 11:28:24.588115,107296647.84,-76.2908935547
2024-08-22 11:28:25.592072,107296647.84,-81.544342041
2024-08-22 11:28:26.596089,107296647.84,-79.7378845215
2024-08-22 11:28:27.600064,107296647.84,-76.7995910645
2024-08-22 11:28:28.604020,107296647.84,-84.0558242798
2024-08-22 11:28:29.608017,107296647.84,-81.2889709473
2024-08-22 11:28:30.611980,107296647.84,-77.8899230957
2024-08-22 11:28:31.615982,107296647.84,-78.719833374
2024-08-22 11:28:32.620047,107296647.84,-76.5570144653
2024-08-22 11:28:33.624012,107296647.84,-81.3087539673
2024-08-22 11:28:34.627999,107296647.84,-79.8268661499
2024-08-22 11:28:35.631952,107296647.84,-76.5564346313
2024-08-22 11:28:36.635906,107296647.84,-76.2773208618
2024-08-22 11:28:37.639934,107296647.84,-77.0148696899
2024-08-22 11:28:38.643946,107296647.84,-87.0723953247
2024-08-22 11:28:39.648029,107296647.84,-84.7254333496
2024-08-22 11:28:40.651999,107296647.84,-83.9706497192
2024-08-22 11:28:41.655946,107296647.84,-82.9702758789
2024-08-22 11:28:42.660080,107296647.84,-81.6078262329
2024-08-22 11:28:43.664115,107296647.84,-81.7334518433
2024-08-22 11:28:44.668187,107296647.84,-80.7734451294
2024-08-22 11:28:45.672277,107296647.84,-76.9791488647
2024-08-22 11:28:46.676351,107296647.84,-76.4890670776
2024-08-22 11:28:47.680464,107296647.84,-74.6477508545
2024-08-22 11:28:48.684555,107296647.84,-74.7475128174
2024-08-22 11:28:49.688551,107296647.84,-74.7094497681
2024-08-22 11:28:50.692547,107296647.84,-85.401763916
2024-08-22 11:28:51.696544,107296647.84,-92.7085723877
2024-08-22 11:28:52.700558,107296647.84,-85.0003967285
2024-08-22 11:28:53.704569,107296647.84,-79.6623001099
2024-08-22 11:28:54.708552,107296647.84,-76.0399551392
2024-08-22 11:28:55.712574,107296647.84,-75.2163772583
2024-08-22 11:28:56.716590,107296647.84,-75.3600387573
2024-08-22 11:28:57.720581,107296647.84,-75.5593948364
2024-08-22 11:28:58.724575,107296647.84,-77.3143463135
2024-08-22 11:28:59.728587,107296647.84,-75.9675521851
2024-08-22 11:29:00.732594,107296647.84,-83.1653366089
2024-08-22 11:29:01.747678,107296647.84,-87.275428772
2024-08-22 11:29:02.750603,107296647.84,-86.4234085083
2024-08-22 11:29:03.753466,107296647.84,-86.4295272827
2024-08-22 11:29:04.757360,107296647.84,-87.0573959351
2024-08-22 11:29:05.762123,107296647.84,-83.2896270752
2024-08-22 11:29:06.766760,107296647.84,-77.7426757813
2024-08-22 11:29:07.770553,107296647.84,-81.5964813232
2024-08-22 11:29:08.774687,107296647.84,-77.6489639282
2024-08-22 11:29:09.777507,107296647.84,-75.7200393677
2024-08-22 11:29:10.781577,107296647.84,-78.2450637817
2024-08-22 11:29:11.785585,107296647.84,-84.0745849609
2024-08-22 11:29:12.789607,107296647.84,-73.7252120972
2024-08-22 11:29:13.793585,107296647.84,-72.3282699585
2024-08-22 11:29:14.797615,107296647.84,-76.6674957275
2024-08-22 11:29:15.801641,107296647.84,-81.8818511963
2024-08-22 11:29:16.805629,107296647.84,-81.2256469727
2024-08-22 11:29:17.809710,107296647.84,-79.8472137451
2024-08-22 11:29:18.813679,107296647.84,-81.4262466431
2024-08-22 11:29:19.817671,107296647.84,-78.8486480713
2024-08-22 11:29:20.821692,107296647.84,-81.2924118042
2024-08-22 11:29:21.825642,107296647.84,-82.5319900513
2024-08-22 11:29:22.829733,107296647.84,-82.7352523804
2024-08-22 11:29:23.833761,107296647.84,-81.4708023071
2024-08-22 11:29:24.837797,107296647.84,-78.1976318359
2024-08-22 11:29:25.841774,107296647.84,-80.021736145
