evt,year,month,day,hour,minute,second,evlat,evlon,evdep,evmag,time_shift,half_duration,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp
C202102131407A,2021,2,13,14,7,49,37.6,141.63,50.7,7.11,0,8.8,5.54e+19,-6.469999999999999e+18,-4.89e+19,2.69e+18,-1.76e+19,-1.7399999999999998e+19
C202102141501A,2021,2,14,15,1,42,-23.35,171.55,12.0,5.85,0,2.1,-7.18e+17,6.589999999999999e+17,6e+16,-2.52e+17,-4999999999999999.0,1.4e+17
C202102141946A,2021,2,14,19,46,54,1.18,-85.33,20.0,5.37,0,1.2,2400000000000000.0,2.43e+16,-2.6699999999999996e+16,1.04e+16,1.4e+16,1.41e+17
C202102160049A,2021,2,16,0,49,26,-17.71,167.56,17.8,6.41,0,3.9,2.98e+18,3.9699999999999994e+17,-3.3699999999999995e+18,1.17e+18,-4.04e+18,3.5999999999999996e+16
C202102160122A,2021,2,16,1,22,19,-17.69,167.62,21.3,5.61,0,1.6,2.66e+17,-7100000000000000.0,-2.59e+17,7.17e+16,-1.76e+17,5.659999999999999e+16
C202102160132A,2021,2,16,1,31,59,-17.74,167.63,18.6,5.96,0,2.3,7.009999999999999e+17,4.1e+16,-7.42e+17,2.7399999999999997e+17,-7.519999999999999e+17,2.8e+16
C202102170336A,2021,2,17,3,36,7,38.29,21.94,12.0,5.48,0,1.3,-1.96e+17,1.92e+17,4900000000000000.0,-1.25e+16,-8.28e+16,-2.09e+16
C202102171221A,2021,2,17,12,21,43,-17.49,167.58,19.0,5.61,0,1.6,2.4399999999999997e+17,1.52e+16,-2.59e+17,7.35e+16,-2.0099999999999997e+17,2.42e+16
C202102172249A,2021,2,17,22,49,38,-23.24,171.78,19.6,6.03,0,2.5,-1.09e+18,1.18e+18,-8.8e+16,-3.63e+17,-1.84e+17,8.34e+17
C202102180637A,2021,2,18,6,37,30,-18.97,167.93,12.0,6.26,0,3.3,-2.0799999999999997e+18,1.82e+17,1.9e+18,-1.33e+18,1.9e+18,-7.23e+17
C202102181530A,2021,2,18,15,30,50,-14.81,-176.67,12.0,6.13,0,2.9,-3.78e+17,2.0799999999999997e+18,-1.6999999999999997e+18,1.2399999999999998e+17,1.63e+17,-6.309999999999999e+17
C202102181931A,2021,2,18,19,31,31,-8.98,-108.15,12.1,5.75,0,1.8,-800000000000000.0,-1.69e+17,1.7e+17,-6.009999999999999e+16,1.5799999999999998e+16,5.03e+17
C202102182014A,2021,2,18,20,14,50,-54.54,143.99,12.0,5.49,0,1.4,-5200000000000000.0,4.349999999999999e+16,-3.84e+16,-5.42e+16,-4.37e+16,-2.0099999999999997e+17
C202102182018A,2021,2,18,20,18,43,-54.61,143.98,12.0,5.49,0,1.3,-1.5e+16,5.39e+16,-3.89e+16,-5.77e+16,-1.1899999999999998e+16,-1.99e+17
C202102190911A,2021,2,19,9,11,24,50.95,-179.06,25.4,5.65,0,1.6,2.5299999999999997e+17,-2.71e+17,1.7999999999999998e+16,2.12e+17,1.4299999999999998e+17,-8.55e+16
C202102200244A,2021,2,20,2,44,6,-17.41,167.66,20.3,5.53,0,1.4,1.4499999999999997e+17,-1.93e+16,-1.26e+17,9.78e+16,-1.72e+17,6.379999999999999e+16
C202102220517A,2021,2,22,5,17,34,-22.95,172.84,12.0,5.57,0,1.5,2.07e+17,-2.27e+17,1.99e+16,1.68e+17,3.46e+16,-6.64e+16
C202102221922A,2021,2,22,19,22,10,1.56,121.91,27.9,5.85,0,2.1,4.6699999999999994e+17,-4.98e+17,3.0799999999999996e+16,-5.77e+17,-2.44e+16,2.27e+16
C202102241005A,2021,2,24,10,5,59,63.86,-22.27,12.0,5.62,0,1.6,-8.09e+16,1.8999999999999996e+16,6.19e+16,-2.08e+16,-6.429999999999999e+16,3.33e+17
C202102260746A,2021,2,26,7,46,9,8.52,137.65,22.4,5.49,0,1.3,1.83e+17,-6.25e+16,-1.2e+17,-2.91e+16,-6.319999999999999e+16,-1.2399999999999998e+17
C202102261158A,2021,2,26,11,58,29,-47.28,100.18,12.0,5.84,0,2.0,-1.7999999999999998e+16,6.58e+17,-6.399999999999999e+17,5.689999999999999e+16,1.08e+16,2.9699999999999994e+17
C202102270213A,2021,2,27,2,13,1,-18.51,-177.91,575.7,5.68,0,1.7,-8.26e+16,2.06e+17,-1.2399999999999998e+17,2.5299999999999997e+17,-2.5799999999999997e+17,1.58e+17
C202102280216A,2021,2,28,2,16,3,-17.66,-72.8,18.8,5.62,0,1.6,1.85e+17,-4.39e+16,-1.42e+17,9.2e+16,-2.57e+17,9.41e+16
C202102281044A,2021,2,28,10,44,50,51.05,-178.85,28.0,5.47,0,1.3,1.41e+17,-1.42e+17,600000000000000.0,1.14e+17,6.58e+16,-4.86e+16
C202102282037A,2021,2,28,20,37,38,-22.85,172.45,20.9,5.81,0,2.0,5.78e+17,-6.24e+17,4.55e+16,2.34e+17,-4.32e+16,8.819999999999998e+16
